Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2019-08-03,KAL,35,ICN,ATL,2,265,I,,false,,2019-08-03T09:20,2019-08-03T09:35,2019-08-03T09:30,2019-08-03T09:55,2019-08-03T09:07,2019-08-03T09:53,2019-08-03T10:10,2019-08-03T10:02,Boeing 747-8,HL7637,,,,,,,9b2fb968-9abf-419f-8582-197926b6236d,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,6f0c1d11-cfef-4b33-b462-90379270f593,,c1ae12ad-df82-4d84-9413-6ae1ff8ab769
2020-02-07,AAL,2717,ATL,MIA,N,T12,N,D10,false,,2020-02-07T09:17,2020-02-07T09:40,2020-02-07T09:53,2020-02-07T09:59,2020-02-07T11:14,2020-02-07T09:17,2020-02-07T11:17,2020-02-07T11:50,Boeing 737-800,N873NN,,,,,,,e54d42b6-17cf-431c-836f-3ccce0448f59,ae1fc6a5-c42d-4e70-ba63-d641d248d270,6f0c1d11-cfef-4b33-b462-90379270f593,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2020-02-10,AAL,1300,MIA,ATL,,,,,false,,2020-02-10T13:06,2020-02-10T13:00,,2020-02-10T13:11,2020-02-10T13:06,2020-02-10T13:06,2020-02-10T15:03,2020-02-10T14:53,Boeing 737-800,N845NN,,,,,,,2fe2cb3d-0c77-48a9-9a03-b99ba4420493,ae1fc6a5-c42d-4e70-ba63-d641d248d270,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,6f0c1d11-cfef-4b33-b462-90379270f593,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2020-06-12,KAL,36,ATL,ICN,I,F1,2,257,false,,2020-06-12T12:30,2020-06-12T12:37,2020-06-12T12:43,2020-06-12T12:54,2020-06-13T15:53,2020-06-13T16:18,2020-06-13T16:20,2020-06-13T16:27,Boeing 777-300 ER,HL8346,,,,,,,e8c183ff-061c-4296-b922-3f0f5aa02599,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,6f0c1d11-cfef-4b33-b462-90379270f593,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2020-09-06,DAL,7863,ICN,ORD,2,246,5,,false,,2020-09-06T10:40,2020-09-06T10:33,2020-09-06T10:40,2020-09-06T10:48:44,2020-09-06T09:25,2020-09-06T09:00:52,2020-09-06T09:25,2020-09-06T09:10,Boeing 777-300 ER,HL8009,,,,,,,b1e78c82-79d0-43ba-9f78-17072167ebce,a8765091-d043-44b1-936c-d217bb519e56,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,a5eff314-18e7-4c87-bd38-0131882f1b8d,,78eac566-1ad0-4ded-9979-9510dfde05f2
2020-09-06,DAL,1272,ORD,ATL,2,E11,S,B7,false,,2020-09-06T18:21,2020-09-06T18:17,2020-09-06T18:31,2020-09-06T18:55:45,2020-09-06T21:05,2020-09-06T21:14:40,2020-09-06T21:15,2020-09-06T21:20,Airbus A321,N383DZ,,,,,,,26926c80-f5d8-4dba-872d-8eb6f73639be,a8765091-d043-44b1-936c-d217bb519e56,a5eff314-18e7-4c87-bd38-0131882f1b8d,6f0c1d11-cfef-4b33-b462-90379270f593,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2020-09-19,DAL,987,ATL,LGA,S,T2,D,D10,false,,2020-09-19T13:40,2020-09-19T13:37,2020-09-19T13:50,2020-09-19T13:46:15,2020-09-19T15:41,2020-09-19T15:15,2020-09-19T15:51,2020-09-19T15:21,Airbus A321,N319DN,,,,,,,f775c4f3-03ad-4b19-923c-0c72aabf6849,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2020-09-20,DAL,830,LGA,ATL,D,D9,S,B12,false,,2020-09-20T15:50,2020-09-20T15:45,2020-09-20T16:00,2020-09-20T16:02:33,2020-09-20T18:08,2020-09-20T17:51:37,2020-09-20T18:18,2020-09-20T18:06,Airbus A321,N304DN,,,,,,,a15ffac7-dade-4b94-9fd9-1b099a6469de,a8765091-d043-44b1-936c-d217bb519e56,dfeb8457-3376-49f8-b542-dbeb2ec9f719,6f0c1d11-cfef-4b33-b462-90379270f593,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2020-11-22,DAL,2160,ATL,LGA,S,B16,C,C39,false,,2020-11-22T09:40,2020-11-22T09:36,2020-11-22T09:40,2020-11-22T09:47:52,2020-11-22T11:47,2020-11-22T11:20,2020-11-22T11:47,2020-11-22T11:27,Airbus A321,N351DN,,,,,,,2fec5754-9ee3-4849-a425-bb963a3fa5db,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2020-11-27,DAL,420,LGA,ATL,D,D9,S,B2,false,,2020-11-27T18:40,2020-11-27T18:33,2020-11-27T18:50,2020-11-27T18:43:37,2020-11-27T21:05,2020-11-27T20:35,2020-11-27T21:15,2020-11-27T20:48,Airbus A321,N373DX,,,,,,,0b3c59fd-72f0-48c1-b1ea-d5ad331bb5cc,a8765091-d043-44b1-936c-d217bb519e56,dfeb8457-3376-49f8-b542-dbeb2ec9f719,6f0c1d11-cfef-4b33-b462-90379270f593,,5904cdc2-eccf-41fe-8345-e82a51d3269c
